sex,tv,computer,sleep,height,momheight,dadheight,exercise,gpa
Male,21,21,6.5,66,64,64,1,3
Male,14,20,7,65,66,55,2,
Female,11,7,7,67,63,72,5,3.01
Female,8,10,8,67,66,70,2,3.1
Male,2,30,7,70,64,70,4,3.4
Female,1.5,20,8,67,69,66,0,4
Male,14,10,7,65,64,65,3,2.8
Male,2,10,8,70,67,71,7,3.37
Male,20,0,8,72,66,74,3,3.5
Male,1,20,8,70,57,68,0,2.4
Male,14,2,9,70,69.3,69,3,2
Female,10,5,8,67,65,68,2.5,3.5
Male,15,10,6,71,66,69,1,2.7
Female,2,4,6.5,67,63,71,30,
Female,10,50,7,63,60,69,7,2.5
Female,6,5,8.5,63,61,67,1,2.17
Female,20,8,7,60,60,66,0,3.1
Male,20,30,6,64,60,65,10,2.5
Male,35,40,10,63,65,64,2,3.43
Male,15,15,6,66,61,61,2,3.6
Male,5,40,10,71,63,70,2.5,2.91
Female,35,21,10.5,63,68,75,2.5,2.83
Female,1,2,8,65.5,62,71,4.5,3.22
Female,4,9,7,66,63,72,6,3.8
Male,0,14,7.5,72,67,74,4,2.1
Female,5,5,8.5,68,67,70,0.5,2.87
Female,5,5,7,65,62,67,2,3.91
Female,0.5,3,4,65,63.5,69,1.5,4
Female,1,2,7,66,67,70,2.5,2.5
Female,15,10,8,66,65,68,2,3.5
Female,5,6,7,67,64,71,5,3.42
Female,8,8,6,63,61,70,4,3.3
Male,1,37,7,69,64,71,1,3.6
Female,10,14,10,66,60,69,10,2.26
Male,2,28,7,70,60,78,2,3.18
Female,1,7,6,61,63,69,7,3.2
Female,1,13.5,3,62,60,68,3,3.9
Male,2,4,6,65,61,63,11,2
Female,1,6,5,63.5,62,63,3,2
Female,4,10,4.5,61,62,65,0,2.66
Female,3,20,7,64,61,63,2,3.88
Male,8,35,8,57,61,66,25,2.5
Male,1,17.5,5,69,62,72,3,3.15
Female,3,5,9,61,65,69,7,2.7
Male,12,25,6,76,64,72,1.5,3.17
Male,0.5,10,5.5,69,62,68,6.5,3.3
Male,9,2,7,77,71,76,15,2.34
Male,25,25,9,75,63,77,3,2.4
Female,2,6,8,61,64,68,1,3
Female,3,35,8,63,61,72,0,2.81
Female,1,35,8,62,62,72,2,2.82
Female,3.5,9,6.5,64,64,74,5.5,3.88
Female,30,24,6,64,62,68,2,2.19
Male,20,7,7,72,67,73,5,2.29
Female,3,5,10,65,66,73,1,3.62
Female,2,5,8,64,61,67,3,3.1
Female,15,10,9,59,60,64,2,2.8
Female,16,21,7,65,67,68,2,2.74
Female,5,10,8,63,65,68,4.5,2.99
Male,8,4,6,71,66,70,8,3
Female,10,15,4.5,64.5,62,66.5,1,2.7
Female,2,25,8,64,63,71,2,3.1
Male,8,1.5,6,72,63,74,10,3.4
Male,10,2,5.5,68,63,68,8,2.4
Male,10,25,7,69,64,67,2,2.76
Female,6,12,9.5,70,62,76,0,3
Female,3.5,2,8,60,61,65,2.5,3.86
Male,3,20,5.5,66,62,70,2,2.1
Female,1,12,8,62,63,68,2,3.45
Female,5,35,5,65,69,72,5,2.18
Male,8,32,6,72,65,71,1.5,2.8
Male,9,7,7,75,68,74,7,3.5
Male,1,10,5,72,60,74,3,4
Female,5,2,6,64,62,66,6,4
